,,Pais,Liga,Jogador,Time,Temporada,ass,gols,rank,Ano_inicio
239,,France,Premier_league,Moussa Sissoko,Tottenham Hotspur,2016-2017,2,0,,2016
240,,England,Premier_league,Martin Kelly,Crystal Palace,2016-2017,2,0,,2016
241,,England,Premier_league,Danny Simpson,Leicester City,2016-2017,2,0,,2016
242,,England,Premier_league,Jack Wilshere,Arsenal FCAFC Bournemouth,2016-2017,2,0,,2016
243,,Egypt,Premier_league,Ahmed El Mohamady,Hull City,2016-2017,2,0,,2016
244,,England,Premier_league,George Friend,Middlesbrough FC,2016-2017,2,0,,2016
245,,England,Premier_league,Patrick Bamford,Middlesbrough FCBurnley FC,2016-2017,0,1,246.,2016
246,,England,Premier_league,Joey Barton,Burnley FC,2016-2017,0,1,,2016
247,,Canada,Premier_league,Scott Arfield,Burnley FC,2016-2017,0,1,,2016
248,,England,Premier_league,Dominic Calvert-Lewin,Everton FC,2016-2017,0,1,,2016
249,,Spain,Premier_league,Àngel Rangel,Swansea City,2016-2017,0,1,,2016
250,,Netherlands,Premier_league,Mike van der Hoorn,Swansea City,2016-2017,0,1,,2016
251,,Netherlands,Premier_league,Virgil van Dijk,Southampton FC,2016-2017,0,1,,2016
252,,Belgium,Premier_league,Toby Alderweireld,Tottenham Hotspur,2016-2017,0,1,,2016
253,,Morocco,Premier_league,Sofiane Boufal,Southampton FC,2016-2017,0,1,,2016
254,,Argentina,Premier_league,Jonathan Calleri,West Ham United,2016-2017,0,1,,2016
255,,Benin,Premier_league,Rudy Gestede,Middlesbrough FC,2016-2017,0,1,,2016
256,,England,Premier_league,Ryan Mason,Tottenham HotspurHull City,2016-2017,0,1,,2016
257,,Cameroon,Premier_league,Joel Matip,Liverpool FC,2016-2017,0,1,,2016
258,,England,Premier_league,Ben Mee,Burnley FC,2016-2017,0,1,,2016
259,,Ireland,Premier_league,David Meyler,Hull City,2016-2017,0,1,,2016
260,,Netherlands,Premier_league,Bruno Martins Indi,Stoke City,2016-2017,0,1,,2016
261,,Spain,Premier_league,Manquillo,Sunderland AFC,2016-2017,0,1,,2016
262,,England,Premier_league,Ademola Lookman,Everton FC,2016-2017,0,1,,2016
263,,England,Premier_league,John Terry,Chelsea FC,2016-2017,0,1,,2016
264,,Spain,Premier_league,Lucas Pérez,Arsenal FC,2016-2017,0,1,,2016
265,,Jamaica,Premier_league,Wes Morgan,Leicester City,2016-2017,0,1,,2016
266,,Spain,Premier_league,Borja Bastón,Swansea City,2016-2017,0,1,,2016
267,,England,Premier_league,Matthew Pennington,Everton FC,2016-2017,0,1,,2016
268,,Argentina,Premier_league,Marcos Rojo,Manchester United,2016-2017,0,1,,2016
269,,Senegal,Premier_league,Diafra Sakho,West Ham United,2016-2017,0,1,,2016
270,,Spain,Premier_league,Oriol Romeu,Southampton FC,2016-2017,0,1,,2016
271,,Gabon,Premier_league,Didier Ndong,Sunderland AFC,2016-2017,0,1,,2016
272,,Spain,Premier_league,Muniesa,Stoke City,2016-2017,0,1,,2016
273,,Senegal,Premier_league,Alfred N'Diaye,Hull City,2016-2017,0,1,,2016
274,,England,Premier_league,Kyle Naughton,Swansea City,2016-2017,0,1,,2016
275,,Argentina,Premier_league,Leonardo Ulloa,Leicester City,2016-2017,0,1,,2016
276,,Wales,Premier_league,Joe Ledley,Crystal Palace,2016-2017,0,1,,2016
277,,France,Premier_league,Abdoulaye Doucouré,Watford FC,2016-2017,0,1,,2016
278,,Belgium,Premier_league,Marouane Fellaini,Manchester United,2016-2017,0,1,,2016
279,,France,Premier_league,Morgan Schneiderlin,Manchester UnitedEverton FC,2016-2017,0,1,,2016
280,,England,Premier_league,Fabian Delph,Manchester City,2016-2017,0,1,,2016
281,,Brazil,Premier_league,David Luiz,Chelsea FC,2016-2017,0,1,,2016
282,,England,Premier_league,Ben Chilwell,Leicester City,2016-2017,0,1,,2016
283,,France,Premier_league,Gaël Clichy,Manchester City,2016-2017,0,1,,2016
284,,Spain,Premier_league,Daniel Ayala,Middlesbrough FC,2016-2017,0,1,,2016
285,,England,Premier_league,Josh Harrop,Manchester United,2016-2017,0,1,,2016
286,,England,Premier_league,Tom Huddlestone,Hull City,2016-2017,0,1,,2016
